Comment,Designator,Footprint,JLCPCB Part #?optional?,,,,
RE1C002UNTCL ,Q7,SOT-416FL,755-RE1C002UNTCL ,,,,
RE1C002UNTCL ,Q8,SOT-416FL,755-RE1C002UNTCL ,,,,
SFR03EZPJ472 ,R7,603,755-SFR03EZPJ472 ,,,,
CGA3E1X7R1C105K080AC ,C6,603,810-CGA3E1X7R1C105AC ,,,,
GRM188R61A106ME69D ,C11,603,81-GRM188R61A106ME9D ,,,,
GRM188R61A106ME69D ,C2,603,81-GRM188R61A106ME9D ,,,,
GRM188R61A106ME69D ,C4,603,81-GRM188R61A106ME9D ,,,,
GRT188C81C475KE13D ,C13,603,81-GRT188C81C475KE3D ,,,,
GRT188C81C475KE13D ,C17,603,81-GRT188C81C475KE3D ,,,,
GRT188C81C475KE13D ,C19,603,81-GRT188C81C475KE3D ,,,,
MMS8050-H-TP ,Q1,SOT-23,833-MMS8050-H-TP ,,,,
MMS8050-H-TP ,Q4,SOT-23,833-MMS8050-H-TP ,,,,
MCP73831T-2ATI/OT ,U2,SOT-23-5,579-MCP73831T-2ATIOT ,,,,
DMG2305UX-7 ,Q3,SOT-23,621-DMG2305UX-7 ,,,,
USB-TYPE-C-019,U$10,SMD,C2927039,,,,
MLF2012-100K,U$2,805,C2941580,,,,
ESP32-WROOM-32D-N4,U3,"SMD,18x25.5mm",C473012,,,,
SM02B-PASS-TB(LF)(SN),U$8,"SMD,P=2mm",C495198,,,,
HE9008M6R,U$5,SOT-23-6,C5123432,,,,
TPSMF05CT1G,U$7,SOT-323-6,C558443,,,,
19-217/GHC-YR1S2/3T,U$6,603,C72043,,,,
19-217/GHC-YR1S2/3T,U$9,603,C72043,,,,
CH340B,U$11,SOP-16,C81010,,,,
K2-6639SP-C4SC-04,U$1,SMD,C83206,,,,
K2-6639SP-C4SC-04,U$3,SMD,C83206,,,,
TPS62202DBVR,U$4,    SOT-23-5,C9050,,,,
